seed,method,instance,well_id,class,operating_point,horizon_seconds,fault_score,threshold,above_threshold,first_alarm_horizon,first_sustained3_horizon
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-231,0.7670281529426575,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-199,0.7670314311981201,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-167,0.7670353055000305,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-135,0.7670323252677917,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-103,0.767029345035553,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-71,0.7670338153839111,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-39,0.7670367360115051,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,-7,0.7670366168022156,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,25,0.7670875787734985,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,57,0.7675415873527527,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,89,0.7684783935546875,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,121,0.7699417471885681,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,153,0.7723001837730408,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,185,0.775550127029419,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,217,0.778844952583313,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,249,0.7814693450927734,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,281,0.7836862206459045,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,313,0.7858010530471802,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,345,0.7876425981521606,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,377,0.7892867922782898,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,409,0.7908675074577332,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,441,0.792265772819519,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,473,0.7936208844184875,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_1pct,505,0.7948276400566101,0.7436891198158264,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-231,0.7670281529426575,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-199,0.7670314311981201,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-167,0.7670353055000305,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-135,0.7670323252677917,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-103,0.767029345035553,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-71,0.7670338153839111,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-39,0.7670367360115051,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,-7,0.7670366168022156,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,25,0.7670875787734985,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,57,0.7675415873527527,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,89,0.7684783935546875,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,121,0.7699417471885681,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,153,0.7723001837730408,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,185,0.775550127029419,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,217,0.778844952583313,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,249,0.7814693450927734,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,281,0.7836862206459045,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,313,0.7858010530471802,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,345,0.7876425981521606,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,377,0.7892867922782898,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,409,0.7908675074577332,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,441,0.792265772819519,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,473,0.7936208844184875,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140515083000,WELL-00011,2,far_5pct,505,0.7948276400566101,0.7381008267402649,1,25,25
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-256,0.7215215563774109,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-224,0.7215118408203125,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-192,0.7215114831924438,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-160,0.721513032913208,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-128,0.7215139865875244,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-96,0.7215151190757751,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-64,0.7215167284011841,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,-32,0.7215306758880615,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,0,0.7215403318405151,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,32,0.7215464115142822,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,64,0.7217711210250854,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,96,0.7221314907073975,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,128,0.7225779294967651,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,160,0.7232760190963745,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,192,0.7242521047592163,0.7436891198158264,0,,
44,R1,WELL-00011_20140530083203,WELL-00011,2,far_1pct,224,0.7248797416687012,0.7436891198158264,0,,
