space,feature,between_well_variance,within_well_variance,icc_like_ratio
preprocessed,P-JUS-CKP,0.46439850383032055,0.0006922991828976907,0.998511475225026
preprocessed,ESTADO-DHSV,1.8679526430020559,0.09033490353397275,0.9538704600896002
preprocessed,ABER-CKGL,0.4922910911867529,0.0551039150410236,0.8993342752233763
preprocessed,T-MON-CKP,0.16445471942502565,0.024385239476960176,0.8708682229187684
preprocessed,P-ANULAR,0.8794468584196717,0.1347139671462275,0.8671670569891542
preprocessed,T-JUS-CKP,0.9338763782129474,0.1643038230020877,0.8503853713440647
preprocessed,QGL,1.0535138758513638,0.21299618704177928,0.831824323167853
preprocessed,T-TPT,1.8149786657851492,0.378405620741309,0.8274786488324082
preprocessed,ESTADO-M2,0.8261037585600708,0.18061320193340163,0.8205918753520665
preprocessed,P-TPT,3.8201114532466875,0.8656005948496167,0.8152680775163531
preprocessed,P-MON-CKP,0.4165274465548385,0.10813017925011463,0.7939033496669061
preprocessed,ESTADO-SDV-GL,0.5678408346626614,0.1513206368352506,0.7895873975004932
preprocessed,ESTADO-W2,1.1097778964731568,0.30849905305084036,0.782483207419835
preprocessed,ABER-CKP,2.1297785265459126,0.7010206548285675,0.752359454022383
preprocessed,P-JUS-CKGL,0.4228239728904691,0.16528065293576438,0.7189604609833495
preprocessed,ESTADO-W1,2.401155653133261,1.247141410903221,0.6581579325880382
preprocessed,ESTADO-M1,5.475452900906393,2.9478502360847236,0.650036311392003
preprocessed,ESTADO-SDV-P,5.940188035240421,4.4372581711265395,0.5724132813712769
preprocessed,ESTADO-PXO,2.1126587128070615,3.9039468924521854,0.35113797569851346
preprocessed,ESTADO-XO,0.13713929432793354,0.8439341189411292,0.13978494623655915
preprocessed,P-PDG,0.001152770611376902,0.04492849562289466,0.025016035920461824
preprocessed,T-PDG,0.001644269252147967,0.06408434008371566,0.025016035920461824
raw_train_median_imputed,P-JUS-CKP,1.65762155357824e+17,247667107259254.2,0.9985081177512171
raw_train_median_imputed,T-MON-CKP,386.65198894667776,4.416292936709499,0.9887071052772661
raw_train_median_imputed,ESTADO-DHSV,0.18446089764030615,0.008920599489795919,0.9538704600896001
raw_train_median_imputed,ABER-CKGL,527.7187039231798,59.013419370460134,0.8994201663287389
raw_train_median_imputed,ABER-CKP,703.670187608596,99.04052821488652,0.8766174086597522
raw_train_median_imputed,P-ANULAR,40692821488459.34,6196385099261.353,0.8678505022756334
raw_train_median_imputed,T-JUS-CKP,146.5394334057101,26.013901120824265,0.8492413885121184
raw_train_median_imputed,QGL,0.987552850205309,0.1996196315355853,0.8318528818635865
raw_train_median_imputed,T-TPT,1712.882041901016,357.10520932046813,0.8274843436307431
raw_train_median_imputed,ESTADO-M2,0.19878283332634522,0.04346040511792952,0.8205918753520665
raw_train_median_imputed,P-MON-CKP,7280741074847.836,1894110427008.918,0.7935541053034375
raw_train_median_imputed,ESTADO-SDV-GL,0.14167597482758096,0.037754415368701874,0.7895873975004932
raw_train_median_imputed,ESTADO-W2,0.16995868689387517,0.04724557421007619,0.782483207419835
raw_train_median_imputed,P-JUS-CKGL,28234671305172.29,11032851511894.527,0.7190336766774775
raw_train_median_imputed,ESTADO-W1,0.0929823899872449,0.04829432397959184,0.6581579325880383
raw_train_median_imputed,ESTADO-M1,0.07049643143634407,0.03795355847417092,0.6500363116171111
raw_train_median_imputed,ESTADO-SDV-P,0.04428310405272134,0.033079014356964156,0.5724132813712769
raw_train_median_imputed,P-TPT,5.193641751846338e+16,5.410212158488168e+16,0.4897881275773348
raw_train_median_imputed,ESTADO-PXO,0.006671484375,0.012328124999999999,0.35113797569851357
raw_train_median_imputed,ESTADO-XO,0.0004974489795918368,0.003061224489795919,0.13978494623655913
raw_train_median_imputed,P-PDG,2.2318489959230773e+79,8.698488394366866e+80,0.025016035920461834
raw_train_median_imputed,T-PDG,4.694902342578525e+71,1.8298080924921436e+73,0.02501603592046183
