well_id,instance,class,start_timestamp,sequence_length,label_phase_order
WELL-00001,WELL-00001_20170201010207,0,2017-02-01T01:02:07.000000000,21474,unlabeled>normal
WELL-00001,WELL-00001_20170201060114,0,2017-02-01T06:01:14.000000000,21527,unlabeled>normal
WELL-00001,WELL-00001_20170201110124,0,2017-02-01T11:01:24.000000000,21517,unlabeled>normal
WELL-00001,WELL-00001_20170201160311,0,2017-02-01T16:03:11.000000000,21410,unlabeled>normal
WELL-00001,WELL-00001_20170201210228,0,2017-02-01T21:02:28.000000000,21453,unlabeled>normal
WELL-00001,WELL-00001_20170202020343,0,2017-02-02T02:03:43.000000000,21378,unlabeled>normal
WELL-00001,WELL-00001_20170202070239,0,2017-02-02T07:02:39.000000000,21442,unlabeled>normal
WELL-00001,WELL-00001_20170218000146,0,2017-02-18T00:01:46.000000000,21495,unlabeled>normal
WELL-00001,WELL-00001_20170218050218,0,2017-02-18T05:02:18.000000000,21463,unlabeled>normal
WELL-00001,WELL-00001_20170218100218,0,2017-02-18T10:02:18.000000000,21463,unlabeled>normal
WELL-00001,WELL-00001_20170218150135,0,2017-02-18T15:01:35.000000000,21506,unlabeled>normal
WELL-00001,WELL-00001_20170219010042,0,2017-02-19T01:00:42.000000000,21559,unlabeled>normal
WELL-00001,WELL-00001_20170219060031,0,2017-02-19T06:00:31.000000000,21570,unlabeled>normal
WELL-00001,WELL-00001_20170219110021,0,2017-02-19T11:00:21.000000000,21580,unlabeled>normal
WELL-00001,WELL-00001_20170219160053,0,2017-02-19T16:00:53.000000000,21548,unlabeled>normal
WELL-00001,WELL-00001_20170219210332,0,2017-02-19T21:03:32.000000000,21389,unlabeled>normal
WELL-00001,WELL-00001_20170421090251,0,2017-04-21T09:02:51.000000000,24759,unlabeled>normal
WELL-00001,WELL-00001_20170422030000,0,2017-04-22T03:00:00.000000000,25058,unlabeled>normal
WELL-00001,WELL-00001_20170424170042,0,2017-04-24T17:00:42.000000000,21559,unlabeled>normal
WELL-00001,WELL-00001_20170424220156,0,2017-04-24T22:01:56.000000000,21485,unlabeled>normal
WELL-00001,WELL-00001_20170425030207,0,2017-04-25T03:02:07.000000000,21474,unlabeled>normal
WELL-00001,WELL-00001_20170425080343,0,2017-04-25T08:03:43.000000000,21378,unlabeled>normal
WELL-00001,WELL-00001_20170425130042,0,2017-04-25T13:00:42.000000000,21559,unlabeled>normal
WELL-00001,WELL-00001_20170520180000,0,2017-05-20T18:00:00.000000000,21421,unlabeled>normal
WELL-00001,WELL-00001_20170520230000,0,2017-05-20T23:00:00.000000000,21549,unlabeled>normal
WELL-00001,WELL-00001_20170521040000,0,2017-05-21T04:00:00.000000000,21472,unlabeled>normal
WELL-00001,WELL-00001_20170521090000,0,2017-05-21T09:00:00.000000000,21472,unlabeled>normal
WELL-00001,WELL-00001_20170521140000,0,2017-05-21T14:00:00.000000000,21498,unlabeled>normal
WELL-00001,WELL-00001_20170521190000,0,2017-05-21T19:00:00.000000000,21408,unlabeled>normal
WELL-00001,WELL-00001_20170522000000,0,2017-05-22T00:00:00.000000000,21562,unlabeled>normal
WELL-00001,WELL-00001_20170522050000,0,2017-05-22T05:00:00.000000000,21562,unlabeled>normal
WELL-00001,WELL-00001_20170522100000,0,2017-05-22T10:00:00.000000000,21575,unlabeled>normal
WELL-00001,WELL-00001_20170522150000,0,2017-05-22T15:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170522200000,0,2017-05-22T20:00:00.000000000,21524,unlabeled>normal
WELL-00001,WELL-00001_20170523010012,0,2017-05-23T01:00:12.000000000,21499,unlabeled>normal
WELL-00001,WELL-00001_20170523060000,0,2017-05-23T06:00:00.000000000,21434,unlabeled>normal
WELL-00001,WELL-00001_20170523110000,0,2017-05-23T11:00:00.000000000,21434,unlabeled>normal
WELL-00001,WELL-00001_20170523160000,0,2017-05-23T16:00:00.000000000,21242,unlabeled>normal
WELL-00001,WELL-00001_20170523210000,0,2017-05-23T21:00:00.000000000,21575,unlabeled>normal
WELL-00001,WELL-00001_20170524020000,0,2017-05-24T02:00:00.000000000,21485,unlabeled>normal
WELL-00001,WELL-00001_20170524070000,0,2017-05-24T07:00:00.000000000,21575,unlabeled>normal
WELL-00001,WELL-00001_20170524120000,0,2017-05-24T12:00:00.000000000,21562,unlabeled>normal
WELL-00001,WELL-00001_20170524170000,0,2017-05-24T17:00:00.000000000,21549,unlabeled>normal
WELL-00001,WELL-00001_20170524220000,0,2017-05-24T22:00:00.000000000,21498,unlabeled>normal
WELL-00001,WELL-00001_20170525030000,0,2017-05-25T03:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170525080000,0,2017-05-25T08:00:00.000000000,21524,unlabeled>normal
WELL-00001,WELL-00001_20170525130000,0,2017-05-25T13:00:00.000000000,21549,unlabeled>normal
WELL-00001,WELL-00001_20170525180000,0,2017-05-25T18:00:00.000000000,21498,unlabeled>normal
WELL-00001,WELL-00001_20170525230000,0,2017-05-25T23:00:00.000000000,21549,unlabeled>normal
WELL-00001,WELL-00001_20170526040000,0,2017-05-26T04:00:00.000000000,21447,unlabeled>normal
WELL-00001,WELL-00001_20170526090000,0,2017-05-26T09:00:00.000000000,21472,unlabeled>normal
WELL-00001,WELL-00001_20170526140000,0,2017-05-26T14:00:00.000000000,21434,unlabeled>normal
WELL-00001,WELL-00001_20170526190000,0,2017-05-26T19:00:00.000000000,21524,unlabeled>normal
WELL-00001,WELL-00001_20170527000000,0,2017-05-27T00:00:00.000000000,21524,unlabeled>normal
WELL-00001,WELL-00001_20170527050000,0,2017-05-27T05:00:00.000000000,21562,unlabeled>normal
WELL-00001,WELL-00001_20170527100000,0,2017-05-27T10:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170527150000,0,2017-05-27T15:00:00.000000000,21421,unlabeled>normal
WELL-00001,WELL-00001_20170527200000,0,2017-05-27T20:00:00.000000000,21524,unlabeled>normal
WELL-00001,WELL-00001_20170528010000,0,2017-05-28T01:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170528060000,0,2017-05-28T06:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170528110000,0,2017-05-28T11:00:00.000000000,21536,unlabeled>normal
WELL-00001,WELL-00001_20170528160000,0,2017-05-28T16:00:00.000000000,21562,unlabeled>normal
WELL-00001,WELL-00001_20170528210000,0,2017-05-28T21:00:00.000000000,21421,unlabeled>normal
WELL-00001,WELL-00001_20170626090246,0,2017-06-26T09:02:46.000000000,21244,unlabeled>normal
WELL-00001,WELL-00001_20170626140123,0,2017-06-26T14:01:23.000000000,21232,unlabeled>normal
WELL-00001,WELL-00001_20170626190135,0,2017-06-26T19:01:35.000000000,21410,unlabeled>normal
WELL-00001,WELL-00001_20170627000333,0,2017-06-27T00:03:33.000000000,21174,unlabeled>normal
WELL-00001,WELL-00001_20170823040000,0,2017-08-23T04:00:00.000000000,21446,unlabeled>normal
WELL-00001,WELL-00001_20170823092146,0,2017-08-23T09:21:46.000000000,16533,unlabeled>normal
WELL-00001,WELL-00001_20170823140000,0,2017-08-23T14:00:00.000000000,21601,unlabeled>normal
WELL-00001,WELL-00001_20170823190000,0,2017-08-23T19:00:00.000000000,21535,unlabeled>normal
WELL-00001,WELL-00001_20170824000000,0,2017-08-24T00:00:00.000000000,21496,unlabeled>normal
WELL-00001,WELL-00001_20170824050000,0,2017-08-24T05:00:00.000000000,21548,unlabeled>normal
WELL-00001,WELL-00001_20170824100000,0,2017-08-24T10:00:00.000000000,21535,unlabeled>normal
WELL-00001,WELL-00001_20170824150000,0,2017-08-24T15:00:00.000000000,21561,unlabeled>normal
WELL-00001,WELL-00001_20170824200000,0,2017-08-24T20:00:00.000000000,21574,unlabeled>normal
WELL-00001,WELL-00001_20170825010000,0,2017-08-25T01:00:00.000000000,21483,unlabeled>normal
WELL-00001,WELL-00001_20170825060000,0,2017-08-25T06:00:00.000000000,21470,unlabeled>normal
WELL-00001,WELL-00001_20170825110000,0,2017-08-25T11:00:00.000000000,21378,unlabeled>normal
WELL-00001,WELL-00001_20170825160000,0,2017-08-25T16:00:00.000000000,21483,unlabeled>normal
WELL-00001,WELL-00001_20170825210000,0,2017-08-25T21:00:00.000000000,21509,unlabeled>normal
WELL-00001,WELL-00001_20170826020000,0,2017-08-26T02:00:00.000000000,21522,unlabeled>normal
WELL-00001,WELL-00001_20170826070000,0,2017-08-26T07:00:00.000000000,21522,unlabeled>normal
WELL-00001,WELL-00001_20170826120000,0,2017-08-26T12:00:00.000000000,21535,unlabeled>normal
WELL-00001,WELL-00001_20170826170000,0,2017-08-26T17:00:00.000000000,21548,unlabeled>normal
WELL-00001,WELL-00001_20170826220000,0,2017-08-26T22:00:00.000000000,21522,unlabeled>normal
